disease_category,age_group,state,gender,changepoint_year,slope1,slope2,change_in_slope,slope2_p_value,significance_label,mean_rate_last_5y,n_years_used,first_year
ischemic,75-84 years,District of Columbia,Male,2018,-0.1700539,-0.0689115,0.1011423,0.1318813,no_significant_change,2.153095782,27,1999
ischemic,75-84 years,Maryland,Male,2011,-0.1851664,-0.0679796,0.1171867,0.0000000,significant_decrease,1.890640047,27,1999
ischemic,75-84 years,Oklahoma,Male,2009,-0.2505257,-0.0674607,0.1830650,0.0000001,significant_decrease,2.690568024,27,1999
ischemic,75-84 years,Rhode Island,Total,2011,-0.1663251,-0.0658219,0.1005032,0.0000000,significant_decrease,1.530161286,27,1999
ischemic,85+ years,Wisconsin,Total,2009,-0.4207801,-0.0655508,0.3552293,0.0000011,significant_decrease,5.177801289,27,1999
ischemic,75-84 years,New York,Female,2012,-0.1599227,-0.0639619,0.0959609,0.0000000,significant_decrease,1.278528306,27,1999
ischemic,85+ years,Arkansas,Male,2013,-0.3456826,-0.0639024,0.2817802,0.1363887,no_significant_change,6.931066967,27,1999
ischemic,85+ years,North Dakota,Male,2015,-0.3839159,-0.0629995,0.3209164,0.1556323,no_significant_change,6.101041001,27,1999
ischemic,75-84 years,New Jersey,Female,2010,-0.1492557,-0.0623283,0.0869274,0.0000000,significant_decrease,0.875813397,27,1999
ischemic,85+ years,Alabama,Total,2015,-0.2756526,-0.0619899,0.2136627,0.0002140,significant_decrease,3.788748585,27,1999
ischemic,75-84 years,Michigan,Male,2009,-0.2241210,-0.0616858,0.1624352,0.0000000,significant_decrease,2.452949385,27,1999
ischemic,75-84 years,Connecticut,Male,2007,-0.2415943,-0.0616684,0.1799259,0.0000000,significant_decrease,1.484096832,27,1999
ischemic,75-84 years,Maryland,Total,2011,-0.1430040,-0.0606709,0.0823332,0.0000000,significant_decrease,1.397845401,27,1999
ischemic,75-84 years,Massachusetts,Male,2011,-0.1602764,-0.0605600,0.0997164,0.0000000,significant_decrease,1.502741331,27,1999
ischemic,85+ years,Washington,Male,2014,-0.3321826,-0.0598332,0.2723494,0.0099601,significant_decrease,6.509284627,27,1999
ischemic,75-84 years,District of Columbia,Female,2015,-0.1048182,-0.0592150,0.0456032,0.0035456,significant_decrease,1.287324277,27,1999
ischemic,75-84 years,California,Male,2010,-0.2245780,-0.0590996,0.1654784,0.0000000,significant_decrease,1.854496768,27,1999
ischemic,85+ years,Michigan,Total,2012,-0.4309337,-0.0586951,0.3722386,0.0010342,significant_decrease,6.888932949,27,1999
ischemic,75-84 years,Alabama,Male,2008,-0.2016107,-0.0580904,0.1435203,0.0000000,significant_decrease,1.732253641,27,1999
ischemic,75-84 years,Illinois,Total,2009,-0.1837919,-0.0578484,0.1259435,0.0000000,significant_decrease,1.263980675,27,1999
ischemic,75-84 years,Ohio,Male,2011,-0.2020448,-0.0569984,0.1450464,0.0000000,significant_decrease,2.219712254,27,1999
ischemic,85+ years,Nebraska,Total,2011,-0.2999153,-0.0566361,0.2432791,0.0014374,significant_decrease,4.467270711,27,1999
ischemic,75-84 years,Indiana,Male,2009,-0.2036176,-0.0565997,0.1470179,0.0000000,significant_decrease,2.162480248,27,1999
ischemic,75-84 years,Pennsylvania,Total,2009,-0.1697373,-0.0565316,0.1132057,0.0000000,significant_decrease,1.449734083,27,1999
ischemic,75-84 years,North Carolina,Male,2009,-0.2326936,-0.0559554,0.1767383,0.0000000,significant_decrease,1.956421201,27,1999
ischemic,75-84 years,District of Columbia,Total,2018,-0.1226707,-0.0558039,0.0668668,0.0570943,no_significant_change,1.635227375,27,1999
ischemic,75-84 years,Kentucky,Male,2009,-0.2258412,-0.0554942,0.1703469,0.0000000,significant_decrease,2.257458668,27,1999
ischemic,85+ years,Tennessee,Female,2016,-0.4131284,-0.0554511,0.3576774,0.1079715,no_significant_change,5.052421709,27,1999
ischemic,85+ years,Nebraska,Female,2012,-0.2902127,-0.0554055,0.2348072,0.0007239,significant_decrease,3.513053153,27,1999
ischemic,85+ years,Vermont,Male,2009,-0.3297321,-0.0538843,0.2758479,0.1612158,no_significant_change,8.200435263,27,1999
ischemic,75-84 years,Rhode Island,Female,2011,-0.1514259,-0.0537454,0.0976805,0.0000006,significant_decrease,1.103280287,27,1999
heart_failure,85+ years,Montana,Female,2018,-0.0087632,-0.0536942,-0.0449310,0.1403228,no_significant_change,2.705942181,27,1999
ischemic,75-84 years,Missouri,Male,2010,-0.2303590,-0.0528421,0.1775169,0.0000000,significant_decrease,2.286065505,27,1999
ischemic,75-84 years,New Hampshire,Male,2010,-0.2098343,-0.0522579,0.1575764,0.0000223,significant_decrease,1.828665418,27,1999
ischemic,75-84 years,Ohio,Total,2010,-0.1669583,-0.0512174,0.1157409,0.0000000,significant_decrease,1.601632244,27,1999
ischemic,75-84 years,Delaware,Female,2009,-0.1593462,-0.0509204,0.1084258,0.0000089,significant_decrease,1.031286536,27,1999
ischemic,75-84 years,Oklahoma,Total,2010,-0.1875204,-0.0501527,0.1373677,0.0000011,significant_decrease,2.030676265,27,1999
ischemic,75-84 years,Pennsylvania,Female,2009,-0.1480311,-0.0499815,0.0980496,0.0000000,significant_decrease,1.010876008,27,1999
ischemic,85+ years,Vermont,Total,2011,-0.3351483,-0.0494246,0.2857237,0.0334638,significant_decrease,5.998709322,27,1999
ischemic,75-84 years,Massachusetts,Total,2011,-0.1188512,-0.0487730,0.0700782,0.0000000,significant_decrease,1.020569116,27,1999
ischemic,75-84 years,Alaska,Male,2010,-0.1449585,-0.0479582,0.0970003,0.0005532,significant_decrease,1.355082366,27,1999
ischemic,85+ years,Oregon,Female,2012,-0.2888282,-0.0479409,0.2408874,0.0001624,significant_decrease,2.867570756,27,1999
ischemic,75-84 years,Illinois,Female,2010,-0.1437125,-0.0478684,0.0958441,0.0000000,significant_decrease,0.892366282,27,1999
ischemic,75-84 years,California,Total,2011,-0.1690405,-0.0477673,0.1212731,0.0000000,significant_decrease,1.344416093,27,1999
ischemic,75-84 years,Connecticut,Total,2008,-0.1690395,-0.0476786,0.1213609,0.0000000,significant_decrease,1.029377775,27,1999
ischemic,85+ years,Washington,Female,2015,-0.3204577,-0.0473314,0.2731263,0.0185068,significant_decrease,3.634094825,27,1999
ischemic,85+ years,Oregon,Male,2012,-0.3216760,-0.0470504,0.2746256,0.0422698,significant_decrease,5.52197728,27,1999
ischemic,75-84 years,Delaware,Total,2009,-0.1992554,-0.0466591,0.1525963,0.0000001,significant_decrease,1.497328285,27,1999
ischemic,75-84 years,Georgia,Male,2009,-0.2417178,-0.0466479,0.1950699,0.0000001,significant_decrease,1.596824109,27,1999
ischemic,85+ years,Kentucky,Male,2014,-0.4666701,-0.0464908,0.4201793,0.0232590,significant_decrease,5.684784881,27,1999
ischemic,85+ years,New Mexico,Total,2012,-0.2997854,-0.0462202,0.2535652,0.0293925,significant_decrease,5.423314399,27,1999
ischemic,85+ years,Alaska,Female,2016,-0.1413404,-0.0458937,0.0954467,0.3666909,no_significant_change,2.104491493,27,1999
ischemic,75-84 years,Ohio,Female,2010,-0.1446648,-0.0455498,0.0991151,0.0000000,significant_decrease,1.125744001,27,1999
ischemic,85+ years,Virginia,Male,2013,-0.3414916,-0.0454611,0.2960305,0.0597472,no_significant_change,5.646055513,27,1999
ischemic,75-84 years,Alabama,Total,2009,-0.1382440,-0.0447594,0.0934846,0.0000000,significant_decrease,1.255588913,27,1999
ischemic,75-84 years,Maryland,Female,2014,-0.1115877,-0.0446004,0.0669873,0.0000000,significant_decrease,1.027925109,27,1999
ischemic,75-84 years,Michigan,Total,2010,-0.1665308,-0.0445978,0.1219330,0.0000000,significant_decrease,1.857765444,27,1999
ischemic,75-84 years,Texas,Male,2010,-0.2256346,-0.0444509,0.1811837,0.0000000,significant_decrease,2.05364064,27,1999
ischemic,75-84 years,North Carolina,Total,2009,-0.1774954,-0.0442881,0.1332073,0.0000000,significant_decrease,1.385384428,27,1999
ischemic,75-84 years,South Carolina,Male,2010,-0.2148732,-0.0441220,0.1707512,0.0000002,significant_decrease,1.898378547,27,1999
ischemic,75-84 years,Oklahoma,Female,2010,-0.1626605,-0.0440297,0.1186308,0.0000063,significant_decrease,1.511359358,27,1999
ischemic,75-84 years,Florida,Male,2010,-0.2006845,-0.0440249,0.1566596,0.0000000,significant_decrease,1.926731611,27,1999
ischemic,85+ years,Kentucky,Female,2015,-0.4237573,-0.0439686,0.3797887,0.0312707,significant_decrease,3.518177514,27,1999
ischemic,75-84 years,Connecticut,Female,2008,-0.1385908,-0.0438732,0.0947176,0.0000000,significant_decrease,0.67561104,27,1999
ischemic,75-84 years,Delaware,Male,2009,-0.2688344,-0.0436594,0.2251750,0.0000601,significant_decrease,2.065849839,27,1999
ischemic,75-84 years,Indiana,Total,2009,-0.1566861,-0.0435459,0.1131403,0.0000000,significant_decrease,1.580577902,27,1999
ischemic,75-84 years,Idaho,Male,2008,-0.2087377,-0.0434723,0.1652654,0.0000029,significant_decrease,1.847426713,27,1999
ischemic,75-84 years,Massachusetts,Female,2011,-0.0981558,-0.0428149,0.0553409,0.0000000,significant_decrease,0.650542112,27,1999
ischemic,75-84 years,Tennessee,Female,2011,-0.1434196,-0.0424356,0.1009840,0.0000000,significant_decrease,1.442789802,27,1999
ischemic,75-84 years,Missouri,Total,2011,-0.1619289,-0.0422084,0.1197204,0.0000000,significant_decrease,1.689750025,27,1999
ischemic,75-84 years,California,Female,2012,-0.1363754,-0.0410906,0.0952848,0.0000000,significant_decrease,0.940451024,27,1999
ischemic,85+ years,Wisconsin,Male,2010,-0.4078287,-0.0409362,0.3668925,0.0565426,no_significant_change,7.211581643,27,1999
ischemic,85+ years,South Carolina,Male,2015,-0.3223112,-0.0402931,0.2820181,0.1993709,no_significant_change,5.219451379,27,1999
ischemic,75-84 years,Michigan,Female,2010,-0.1441329,-0.0400476,0.1040853,0.0000000,significant_decrease,1.376868335,27,1999
ischemic,85+ years,Tennessee,Male,2015,-0.4335278,-0.0392996,0.3942282,0.3049928,no_significant_change,7.637846207,27,1999
ischemic,75-84 years,Georgia,Total,2009,-0.1739974,-0.0390554,0.1349420,0.0000000,significant_decrease,1.143605673,27,1999
ischemic,85+ years,Hawaii,Female,2010,-0.2278162,-0.0390506,0.1887656,0.0000786,significant_decrease,2.315552335,27,1999
ischemic,75-84 years,Washington,Male,2012,-0.1632821,-0.0389750,0.1243071,0.0000002,significant_decrease,1.86073587,27,1999
ischemic,85+ years,Oregon,Total,2012,-0.2922768,-0.0389689,0.2533079,0.0028728,significant_decrease,3.892926661,27,1999
ischemic,75-84 years,New Hampshire,Total,2010,-0.1797225,-0.0386065,0.1411160,0.0000006,significant_decrease,1.30354561,27,1999
ischemic,75-84 years,Texas,Total,2010,-0.1824130,-0.0376453,0.1447677,0.0000000,significant_decrease,1.510099955,27,1999
ischemic,75-84 years,Florida,Total,2010,-0.1647102,-0.0375798,0.1271304,0.0000000,significant_decrease,1.419497259,27,1999
ischemic,75-84 years,South Carolina,Total,2009,-0.1781476,-0.0374536,0.1406940,0.0000000,significant_decrease,1.357438046,27,1999
